Property_ID,Property_Type,Address,Units,Occupancy_Rate,Manager_Name,Investor_ID,Investment_Value,Investment_Date,Debt_Oversight,Tenant_ID,Lease_Start,Lease_End,Rent_Monthly,Payment_Status,Maintenance_Ticket_ID,Maintenance_Issue,Maintenance_Status,Procurement_ID,Item_Description,Purchase_Date,Purchase_Amount,Payment_Method,Energy_Solution_Enabled,Monthly_Energy_Cost,Sustainability_Score,AI_Feature_Use,Last_AI_Analysis,Portfolio_Notes,Compliance_Flag
1001,Commercial,"1 Main St, NY",9,72%,Alicia Ray,5010,7599918,2023-11-09,Yes,20001,2023-11-24,2025-03-19,3396,Overdue,301,Plumbing issue,In Progress,401,Elevator Motor,2024-07-02,897,Bank Transfer,Yes,1306,7,None,NA,Great location,Y
1002,Commercial,"2 Main St, NY",11,79%,Mike Tan,5004,3481008,2024-10-18,No,20002,2023-10-03,2025-12-14,2424,Paid,302,None,Closed,402,Water Heater,2024-11-17,655,Bank Transfer,Yes,1984,10,Virtuoso,2025-03-16,Good sustainability,Y
1003,Specialized,"3 Main St, NY",59,97%,John Smith,5005,7789995,2025-03-11,Yes,20003,2023-11-24,2025-06-01,5630,Paid,303,AC not working,Closed,403,Window Glass,2024-04-27,613,Card,Yes,1742,8,Virtuoso,2025-04-27,High returns,N
1004,Specialized,"4 Main St, NY",9,84%,Chris Patel,5004,6687449,2025-03-19,Yes,20004,2023-12-23,2025-10-08,1611,Pending,304,Broken window,In Progress,404,Water Heater,2024-07-10,1300,Card,No,2370,7,Virtuoso,2025-09-28,Stable occupancy,Y
1005,Commercial,"5 Main St, NY",52,92%,John Smith,5007,5794496,2021-03-16,Yes,20005,2024-04-26,2025-04-30,2657,Overdue,305,Broken window,Closed,405,LED Bulbs,2024-11-26,1133,Bank Transfer,No,1852,10,None,NA,Great location,N
1006,Multifamily,"6 Main St, NY",55,75%,Jane Doe,5007,7440475,2024-01-23,No,20006,2023-12-12,2025-03-16,3486,Pending,306,Broken window,In Progress,406,LED Bulbs,2024-08-12,1119,Card,Yes,1276,9,None,NA,Stable occupancy,Y
1007,Multifamily,"7 Main St, NY",52,82%,Mike Tan,5006,4708211,2025-04-26,Yes,20007,2024-05-17,2025-05-10,2576,Paid,307,Roof leak,Closed,407,Window Glass,2024-05-22,764,Card,No,1351,10,None,NA,Maintenance intensive,N
1008,Multifamily,"8 Main St, NY",57,82%,Jane Doe,5004,4605496,2021-07-12,No,20008,2024-08-24,2025-02-13,5309,Pending,308,Plumbing issue,Open,408,Water Heater,2024-02-20,381,Card,Yes,2048,8,None,NA,High returns,Y
1009,Multifamily,"9 Main St, NY",59,79%,John Smith,5004,4150020,2021-03-23,Yes,20009,2024-07-20,2025-07-18,3876,Overdue,309,Heating issue,Open,409,None,2024-12-25,1148,Card,No,1484,9,Virtuoso,2025-04-29,Needs marketing,N
1010,Multifamily,"10 Main St, NY",29,94%,Jane Doe,5009,5526588,2021-07-26,No,20010,2024-11-23,2025-10-01,3459,Paid,310,Roof leak,In Progress,410,Elevator Motor,2024-01-02,1086,Card,Yes,2820,6,None,NA,Upgrade required,Y
1011,Specialized,"11 Ocean Ave, CA",26,92%,Chris Patel,5005,5559243,2024-08-07,No,20011,2023-04-28,2025-12-11,4095,Paid,311,Heating issue,Closed,411,Air Filter,2024-09-29,868,Bank Transfer,No,1315,9,Virtuoso,2025-09-29,Upgrade required,Y
1012,Specialized,"12 Ocean Ave, CA",27,90%,Alicia Ray,5008,2031979,2024-11-21,Yes,20012,2023-04-03,2025-12-11,3047,Overdue,312,Elevator stuck,In Progress,412,Water Heater,2024-08-10,724,PayPal,Yes,2129,5,Virtuoso,2025-02-15,Good sustainability,Y
1013,Multifamily,"13 Ocean Ave, CA",43,97%,Chris Patel,5004,4847981,2024-02-09,Yes,20013,2023-03-11,2025-10-02,1384,Pending,313,Plumbing issue,In Progress,413,Water Heater,2024-09-23,369,Card,No,3168,10,None,NA,Needs marketing,N
1014,Multifamily,"14 Ocean Ave, CA",19,71%,John Smith,5011,7067864,2024-05-09,No,20014,2023-10-25,2025-05-12,1152,Paid,314,None,Open,414,Elevator Motor,2024-12-29,1297,Bank Transfer,No,2264,6,Virtuoso,2025-09-27,Needs marketing,N
1015,Specialized,"15 Ocean Ave, CA",50,83%,John Smith,5004,3694146,2023-02-04,No,20015,2023-01-07,2025-03-17,1652,Paid,315,Elevator stuck,Open,415,Air Filter,2024-02-09,131,Card,Yes,2138,5,Virtuoso,2025-09-01,Stable occupancy,N
1016,Specialized,"16 Ocean Ave, CA",23,70%,Jane Doe,5007,8213673,2025-03-21,No,20016,2024-11-06,2025-08-04,4871,Paid,316,Heating issue,Closed,416,Elevator Motor,2024-08-19,650,Card,No,1764,7,None,NA,Stable occupancy,N
1017,Specialized,"17 Ocean Ave, CA",32,98%,Mike Tan,5002,3894789,2024-11-13,No,20017,2023-08-07,2025-01-22,5728,Overdue,317,Plumbing issue,Closed,417,Smart Thermostat,2024-05-30,126,Bank Transfer,No,1426,10,None,NA,High returns,Y
1018,Specialized,"18 Ocean Ave, CA",29,100%,Jane Doe,5006,4188180,2023-07-24,Yes,20018,2024-07-21,2025-09-10,2782,Overdue,318,None,Open,418,Water Heater,2024-02-08,870,PayPal,Yes,2477,10,None,NA,Great location,N
1019,Specialized,"19 Ocean Ave, CA",73,95%,Jane Doe,5008,2486212,2022-10-05,Yes,20019,2024-12-07,2025-02-20,1061,Overdue,319,Elevator stuck,Closed,419,Air Filter,2024-06-26,774,Card,Yes,2025,8,None,NA,Upgrade required,Y
1020,Specialized,"20 Ocean Ave, CA",45,91%,John Smith,5002,6140433,2024-08-03,No,20020,2023-05-26,2025-07-21,4384,Pending,320,Broken window,In Progress,420,None,2024-02-04,1482,PayPal,No,2165,8,None,NA,High returns,Y
1021,Multifamily,"21 Lake Pl, TX",67,78%,Jane Doe,5010,8087928,2022-04-04,No,20021,2023-03-29,2025-06-19,1602,Paid,321,Roof leak,In Progress,421,Water Heater,2024-08-06,1180,Bank Transfer,No,2728,10,None,NA,Good sustainability,Y
1022,Specialized,"22 Lake Pl, TX",20,75%,Jane Doe,5010,6526883,2025-09-02,No,20022,2023-06-02,2025-10-27,1854,Paid,322,Elevator stuck,Closed,422,Window Glass,2024-03-10,1393,PayPal,Yes,2563,6,None,NA,Upgrade required,N
1023,Multifamily,"23 Lake Pl, TX",33,79%,Jane Doe,5005,8248880,2022-01-11,Yes,20023,2023-03-20,2025-04-03,3623,Paid,323,None,Open,423,Smart Thermostat,2024-02-09,1334,PayPal,Yes,3149,8,Virtuoso,2025-06-10,Needs marketing,N
1024,Multifamily,"24 Lake Pl, TX",40,92%,Mike Tan,5004,6867394,2024-06-13,Yes,20024,2024-03-26,2025-03-09,3056,Paid,324,Roof leak,In Progress,424,None,2024-03-20,1027,Card,No,1399,6,Virtuoso,2025-10-07,High returns,N
1025,Multifamily,"25 Lake Pl, TX",21,90%,Chris Patel,5009,4692113,2024-11-20,No,20025,2023-02-20,2025-02-03,2923,Paid,325,Heating issue,Open,425,LED Bulbs,2024-05-14,1414,Bank Transfer,Yes,3012,10,Virtuoso,2025-07-26,Upgrade required,Y
1026,Multifamily,"26 Lake Pl, TX",15,86%,John Smith,5005,4649398,2022-08-15,Yes,20026,2024-11-13,2025-09-23,1056,Paid,326,Plumbing issue,In Progress,426,None,2024-02-05,311,PayPal,No,2479,6,None,NA,High returns,Y
1027,Multifamily,"27 Lake Pl, TX",31,100%,Mike Tan,5004,4525511,2023-08-03,No,20027,2024-08-26,2025-12-11,1426,Overdue,327,Elevator stuck,Open,427,Water Heater,2024-02-20,443,Card,No,2860,6,None,NA,Upgrade required,N
1028,Commercial,"28 Lake Pl, TX",73,80%,John Smith,5006,7896761,2021-09-11,Yes,20028,2023-12-09,2025-01-05,5402,Overdue,328,AC not working,In Progress,428,Smart Thermostat,2024-08-16,186,PayPal,Yes,1426,5,None,NA,Stable occupancy,Y
1029,Multifamily,"29 Lake Pl, TX",50,76%,Chris Patel,5005,5924177,2023-05-15,Yes,20029,2024-08-09,2025-06-25,5754,Overdue,329,Heating issue,In Progress,429,Window Glass,2024-05-26,1224,Card,No,1330,8,Virtuoso,2025-02-25,Stable occupancy,Y
1030,Commercial,"30 Lake Pl, TX",15,70%,Mike Tan,5007,1466956,2022-07-12,No,20030,2023-01-26,2025-06-22,2582,Pending,330,AC not working,In Progress,430,Smart Thermostat,2024-06-16,1280,Bank Transfer,No,1408,6,Virtuoso,2025-09-30,Great location,Y
